a52dec 0.7.4-11
gupnp-dlna 0.10.5+4+gc947eed-2
gupnp-igd 1.2.0-1
gvfs 1.46.1-1
gvfs-afc 1.46.1-1
gvfs-goa 1.46.1-1
gvfs-google 1.46.1-1
gvfs-gphoto2 1.46.1-1
gvfs-mtp 1.46.1-1
gvfs-nfs 1.46.1-1
gvfs-smb 1.46.1-1
gzip 1.10-3
hardinfo 0.5.1.816.g877ea2b-2
harfbuzz 2.7.4-1
harfbuzz-icu 2.7.4-1
hdf5 1.12.0-2
hdparm 9.58-3
hexer-hobu 1.4.0-4
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
htop 3.0.4-1
hunspell 1.7.0-3
hwids 20200813.1-1
hwinfo 21.71-1
hwloc 2.2.0-1
hyphen 2.8.8-3
i3lock 2.13-1
iana-etc 20201012-1
icu 68.2-1
id3lib 3.8.3-18
ijs 0.35-3
imagemagick 7.0.10.53-1
imlib2 1.7.1-1
inetutils 1.9.4-8
intel-ucode 20201118-1
inxi 3.2.01-1
iproute2 5.10.0-2
iptables 1:1.8.6-1
iputils 20200821-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
ipython 7.19.0-4
iso-codes 4.5.0-1
ispc 1.15.0-1
iw 5.9-1
iwd 1.10-1
jack 0.125.0-9
jansson 2.13.1-1
jbig2dec 0.19-1
jfsutils 1.1.15-7
jq 1.6-4
js78 78.6.0-1
json-c 0.15-1
json-glib 1.6.0-1
jsoncpp 1.9.4-1
jupyter 4.6.3-1
jupyter-nbclient 0.5.1-1
jupyter-nbconvert 6.0.7-2
jupyter-nbformat 5.0.8-1
jupyter-notebook 6.1.6-1
jupyter-widgetsnbextension 1:3.5.1-3
jupyter_console 6.2.0-3
jupyterlab_pygments 0.1.2-2
jxrlib 0.2.1-3
kbd 2.3.0-2
keyserver-rank 1.2.4-1
keyutils 1.6.3-1
kitty 0.19.3-1
kitty-terminfo 0.19.3-1
kmod 27-2
krb5 1.18.2-1
kyotocabinet 1.2.78-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.9.0-3
laszip 3.4.3-1
lcms2 2.11-2
ldb 1:2.2.0-3
ldns 1.7.1-2
less 563-1
libaec 1.0.4-1
libaio 0.3.112-2
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.1-1
libass 0.15.0-2
libassuan 2.5.4-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavtp 0.1.0-2
libblockdev 2.24-3
libbluray 1.2.1-1
