a52dec 0.7.4-11
stalonetray 0.8.3-3
startup-notification 0.12-7
stoken 0.92-4
stow 2.3.1-3
stress 1.0.4-5
sudo 1.9.4.p2-2
svt-hevc 1.5.0-1
sxiv 26-1
sysfsutils 2.1.0-11
sysstat 12.4.0-2
system-config-printer 1.5.13-4
systemd 247.2-1
systemd-libs 247.2-1
systemd-sysvcompat 247.2-1
t1lib 5.1.2-8
taglib 1.11.1-4
talloc 2.3.1-5
tar 1.32-3
tbb 2020.3-1
tcl 8.6.10-2
tdb 1.4.3-4
tevent 1:0.10.2-3
texinfo 6.7-3
texlab 2.2.0-1
texlive-bibtexextra 2020.56991-1
texlive-bin 2020.54586-8
texlive-core 2020.57066-1
texlive-fontsextra 2020.57042-1
texlive-formatsextra 2020.56699-1
texlive-games 2020.56833-1
texlive-humanities 2020.57034-1
texlive-latexextra 2020.57067-1
texlive-music 2020.56473-1
texlive-pictures 2020.57065-1
texlive-pstricks 2020.56758-1
texlive-publishers 2020.57058-1
texlive-science 2020.57068-1
the_silver_searcher 2.2.0-2
thin-provisioning-tools 0.9.0-1
time 1.9-3
tk 8.6.10-2
tlp 1.3.1-2
tmux 3.1_c-1
totem-pl-parser 3.26.5-1
tracker3 3.0.2-2
tracker3-miners 3.0.3-2
transmission-gtk 3.00-2
tree 1.8.0-2
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-caladea 20200113-2
ttf-carlito 20130920-5
ttf-croscore 20201206-1
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-liberation 2.1.2-1
ttf-ubuntu-font-family 0.83-6
twolame 0.4.0-2
tzdata 2020f-1
uchardet 0.0.7-1
udisks2 2.9.1-1
ueberzug 18.1.8-1
unrar 1:6.0.3-1
unzip 6.0-14
upower 0.99.11-3
usb_modeswitch 2.6.1-1
usbmuxd 1.1.1-1
usbutils 013-1
util-linux 2.36.1-4
util-linux-libs 2.36.1-4
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
vi 1:070224-4
vid.stab 1.1-3
vint 0.3.20-3
vivaldi 3.5.2115.81-1
vmaf 1.5.3-1
volume_key 0.3.12-5
vpnc 1:0.5.3.r468.r81-2
vulkan-icd-loader 1.2.162-1
wavpack 5.3.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.30.4-2
webrtc-audio-processing 0.3.1-2
welcome 3.8.17-2
wget 1.20.3-3
which 2.21-5
whois 5.5.7-1
wildmidi 0.4.3-3
wireless-regdb 2020.04.29-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.8.0-1
wvdial 1.61-8
wvstreams 4.6.1-16
x264 3:0.160.r3011.cde9a93-1
x265 3.4-1
xapian-core 1:1.4.17-2
xapp 2.0.5-1
xarchiver 0.5.4.15-2
xautolock 2.2-6
xbindkeys 1.8.7-2
xboard 4.9.1-3
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xcursor-neutral 1.13a-9
xdg-dbus-proxy 0.1.2-2
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-3
xerces-c 3.2.3-2
xf86-input-libinput 0.30.0-1
xf86-video-fbdev 0.5.0-2
xf86-video-intel 1:2.99.917+914+ga511f22c-1
xf86-video-vesa 2.5.0-1
xfsprogs 5.8.0-2
xkeyboard-config 2.31-1
xl2tpd 1.3.16-1
xorg-fonts-encodings 1.0.5-2
xorg-server 1.20.10-3
xorg-server-common 1.20.10-3
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xdpyinfo 1.3.2-4
xorg-xev 1.2.4-1
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.4-1
xorg-xkill 1.0.5-2
xorg-xmessage 1.0.5-2
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorg-xwininfo 1.1.5-2
xorgproto 2020.1-1
xplc 0.3.13-8
xsel 1.2.0.20190821-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-1
yad 7.3-1
yajl 2.1.0-4
yay 10.1.2-1
zathura 0.4.7-1
zathura-pdf-mupdf 0.3.6-4
zathura-ps 0.2.6-2
zbar 0.23.1-5
zeromq 4.3.3-2
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.5-1
zvbi 0.2.35-4
zxing-cpp 1.1.1-1
zziplib 0.13.71-1
